VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_X,pickup_Y,pickup_borough,location_i_pickup,objectid_pickup,pickup_shape_area,shape_leng_pickup,pickup_zone,X,Y,borough,location_i_dropoff,objectid_dropoff,shape_area,shape_leng_dropoff,zone
1,11/1/2022 0:47,11/1/2022 0:51,2,0.9,1,N,114,231,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,0,-73.99867809,40.72861251,Manhattan,114,114,4.70207704945e-05,0.031727035,Greenwich Village South,-74.00671168,40.71869665,Manhattan,231,231,0.00016693,0.063420117,TriBeCa/Civic Center
2,10/31/2022 23:59,10/31/2022 23:59,1,0,5,N,186,264,3,-8,0,0,0,0,-0.3,-8.3,0,0,-73.99245533,40.7484763,Manhattan,186,186,3.70729416953e-05,0.02469639,Penn Station/Madison Sq West,,,,,,,,
2,10/31/2022 23:59,10/31/2022 23:59,1,0,5,N,186,264,3,8,0,0,0,0,0.3,8.3,0,0,-73.99245533,40.7484763,Manhattan,186,186,3.70729416953e-05,0.02469639,Penn Station/Madison Sq West,,,,,,,,
2,11/1/2022 0:36,11/1/2022 0:48,1,3.5,1,N,186,263,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5,0,-73.99245533,40.7484763,Manhattan,186,186,3.70729416953e-05,0.02469639,Penn Station/Madison Sq West,-73.95120935,40.77849396,Manhattan,263,263,6.57697664169e-05,0.037016625,Yorkville West
2,10/31/2022 23:59,11/1/2022 0:29,2,17.45,2,N,132,170,1,52,0,0.5,12.62,6.55,0.3,75.72,2.5,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill
2,11/1/2022 0:14,11/1/2022 0:34,1,10.56,1,N,48,220,1,30,0.5,0.5,7.36,3,0.3,44.16,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.9118816,40.8818912,Bronx,220,220,0.000313036,0.106015943,Spuyten Duyvil/Kingsbridge
1,11/1/2022 0:08,11/1/2022 0:39,1,4.5,1,N,79,225,2,23,3,0.5,0,0,0.3,26.8,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.93144974,40.68878496,Brooklyn,225,225,0.000310835,0.088799207,Stuyvesant Heights
2,11/1/2022 0:08,11/1/2022 0:14,2,1.57,1,N,90,230,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0,-73.99677701,40.74254679,Manhattan,90,90,5.53132476305e-05,0.030759162,Flatiron,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
2,11/1/2022 0:19,11/1/2022 0:26,2,1.71,1,N,48,68,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.99994016,40.74839716,Manhattan,68,68,0.000111073,0.04933738,East Chelsea
2,11/1/2022 0:32,11/1/2022 0:37,2,1.18,1,N,90,230,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0,-73.99677701,40.74254679,Manhattan,90,90,5.53132476305e-05,0.030759162,Flatiron,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
2,11/1/2022 0:42,11/1/2022 0:51,2,1.88,1,N,48,238,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.97281448,40.79176595,Manhattan,238,238,0.000184764,0.060109311,Upper West Side North
1,11/1/2022 0:34,11/1/2022 1:01,2,10.9,1,N,132,196,1,33,1.75,0.5,5,0,0.3,40.55,0,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.86401357,40.72365252,Queens,196,196,0.000197471,0.083242111,Rego Park
1,11/1/2022 0:06,11/1/2022 0:13,3,0.7,1,N,148,148,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5,0,-73.99071887,40.71921043,Manhattan,148,148,6.97489921327e-05,0.039130502,Lower East Side,-73.99071887,40.71921043,Manhattan,148,148,6.97489921327e-05,0.039130502,Lower East Side
1,11/1/2022 0:21,11/1/2022 0:30,1,3.7,1,N,79,262,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.94582992,40.77653654,Manhattan,262,262,0.00012233,0.049063623,Yorkville East
1,11/1/2022 0:07,11/1/2022 0:17,1,2.2,1,N,68,163,1,9,3,0.5,0,0,0.3,12.8,2.5,0,-73.99994016,40.74839716,Manhattan,68,68,0.000111073,0.04933738,East Chelsea,-73.9783669,40.7644253,Manhattan,163,163,4.08567804196e-05,0.034176867,Midtown North
1,11/1/2022 0:25,11/1/2022 0:52,1,4.3,1,N,100,146,1,19.5,3,0.5,4,0,0.3,27.3,2.5,0,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District,-73.93363873,40.75452473,Queens,146,146,0.000104639,0.047140522,Long Island City/Queens Plaza
2,11/1/2022 0:26,11/1/2022 0:32,3,1.61,1,N,229,263,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0,-73.96517424,40.75658919,Manhattan,229,229,9.47058230931e-05,0.04252529,Sutton Place/Turtle Bay North,-73.95120935,40.77849396,Manhattan,263,263,6.57697664169e-05,0.037016625,Yorkville West
2,11/1/2022 0:10,11/1/2022 0:18,2,1.22,1,N,79,232,1,7,0.5,0.5,3,0,0.3,13.8,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.98230749,40.71538428,Manhattan,232,232,0.00021605,0.061470909,Two Bridges/Seward Park
2,11/1/2022 0:29,11/1/2022 0:59,2,6.88,1,N,79,257,2,24,0.5,0.5,0,0,0.3,27.8,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.97723936,40.65366447,Brooklyn,257,257,0.000138909,0.058669026,Windsor Terrace
2,11/1/2022 0:12,11/1/2022 0:18,2,1.24,1,N,239,142,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0,-73.9782733,40.78410708,Manhattan,239,239,0.000204715,0.063626115,Upper West Side South,-73.98135241,40.77390593,Manhattan,142,142,7.56537920738e-05,0.038175894,Lincoln Square East
2,11/1/2022 0:09,11/1/2022 0:22,1,2.61,1,N,249,170,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill
2,11/1/2022 0:25,11/1/2022 0:30,1,0.7,1,N,161,48,2,5,0.5,0.5,0,0,0.3,8.8,2.5,0,-73.97743184,40.7582264,Manhattan,161,161,7.19130682992e-05,0.03580391,Midtown Center,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East
